job_id,company_id,location,designation,details_id
JOB213,COM067,Bangalore,Full Stack Developer,S03
JOB214,COM072,Noida,Senior Software Engineer,S03
JOB215,COM073,Bangalore,SDE 3,S03
JOB216,COM074,Mumbai,Sales Specialist,S04
JOB217,COM075,Bangalore,Senior Product Manager,T08
JOB218,COM076,Work From Home,Site Reliability Engineer,S03
JOB219,COM060,Bangalore,ServiceNow Developer,S03
JOB220,COM077,Pune,Functional Consultant,S03
JOB221,COM070,Bangalore,iOS Architect,S03
JOB222,COM071,Work From Home,Secops Manager,S03
JOB223,COM075,Bangalore,"Backend, Node.js Python Developer",S03
JOB224,COM078,Chennai,UX Engineer,D09
JOB225,COM079,Gurgaon,Team Lead - Technical,S03
JOB226,COM080,Mangalore,System Engineer,I02
JOB227,COM081,Work From Home,Backend Lead / Founding Engineer,S03
JOB228,COM082,Bangalore,Senior Backend Engineer,S03
JOB229,COM060,Bangalore,Salesforce Administartor,S03
JOB230,COM083,Bangalore,Fullstack Develoepr - SDE2,S03
JOB231,COM084,Noida,Python Developer,S03
JOB232,COM026,Bangalore,Principal Software Engineer,S03
JOB233,COM026,Bangalore,Principal Software Engineer - UI Architect,I02
JOB234,COM085,Gurgaon,Senior Technical Lead Engineer,S03
JOB235,COM085,Gurgaon,Software Engineer - Python,S03
JOB236,COM075,Bangalore,Senior Product Manager,T08
JOB237,COM086,Delhi,Chief of Staff,S04
JOB238,COM087,Bangalore,Senior Site Reliability Engineer [T500 - 6976,I02
JOB239,COM088,Bangalore,Dot .NET Developer,S03
JOB240,COM029,Bangalore,Salesforce Architect,S03
JOB241,COM089,Chennai,Saas Sales Account Executive,S04
JOB242,COM075,Bangalore,Senior Product Manager,T08
JOB243,COM090,Bangalore,Insight Analyst,O07
JOB244,COM091,Bangalore,Lead Developer - API,S03
JOB245,COM092,Belgaum,Branch Manager,S04
JOB246,COM093,Gurgaon,Manager II,O07
JOB247,COM093,Gurgaon,Quality Engineer,S03
JOB248,COM094,Work From Home,Senior Cybersecurity Engineer [T500 - 6926,I02
JOB249,COM094,Work From Home,Senior Fullstack Developer [T500 - 6970,S03
JOB250,COM032,Hyderabad,Data Scientist,S03
JOB251,COM095,Bangalore,Flutter Developer,S03
JOB252,COM096,Bangalore,Software Engineer,S03
JOB253,COM076,Work From Home,Site Reliability Engineer,I02
JOB254,COM097,Mumbai,PCG Adviser,S04
JOB255,COM094,Work From Home,.NET Developer - BizTalk [T500 - 6844,S03
JOB256,COM094,Work From Home,Cybersecurity Engineer - PKI [T500 - 6924,I02
JOB257,COM094,Work From Home,Cybersecurity Engineer [Tt500 - 6862,I02
JOB258,COM098,Delhi,Creative Graphic Designer,D09
JOB259,COM098,Delhi,Social Media Executive,M05
JOB260,COM099,Bangalore,VP Engineering,S03
JOB261,COM100,Bangalore,Front End Developer - Angularjs,S03
JOB262,COM101,Bangalore,Senior Financial Business Analyst [T500 - 6956,O07
JOB263,COM102,Ahmedabad,QA Engineer,S03
JOB264,COM075,Bangalore,Engineering Manager - Node.js & Python,S03
JOB265,COM075,Bangalore,Senior Product Manager (Payment),T08
JOB266,COM075,Bangalore,Senior Product Manager - Credit & Lending,T08
JOB267,COM075,Bangalore,Senior Product Manager - Fintech,T08
JOB268,COM103,Hyderabad,Data Analyst,D01
JOB269,COM088,Bangalore,Dotnet Developer,S03
JOB270,COM104,Chennai,Senior Backend Engineer,S03
JOB271,COM105,Ahmedabad,PHP Developer,S03
JOB272,COM101,Bangalore,Senior Financial Business Analyst [T500 - 6951,O07
JOB273,COM106,Work From Home,Data Scientist,D01
JOB274,COM107,Mumbai,Social Media Marketing Executive,M05
JOB275,COM108,Bangalore,Engineering Manager,S03
JOB276,COM093,Gurgaon,Senior VP - Indian Operation,O07
JOB277,COM109,Bangalore,Frontend SDE4,S03
JOB278,COM110,Gurgaon,Product Marketing Specialist,T08
JOB279,COM111,Gurgaon,Product Manager - II,T08
JOB280,COM112,Chennai,Java Fullstack Developer,S03
JOB281,COM101,Bangalore,Senior Financial Business Analyst [T500 - 6950,O07
JOB282,COM113,Hyderabad,Full Stack Developer - Java,S03
JOB283,COM114,Hyderabad,Full Stack Developer - Java,S03
JOB284,COM115,Bangalore,Vice President of Engineering,S03
JOB285,COM116,Work From Home,Software Engineer II,S03
JOB286,COM117,Bangalore,Senior Full Stack Developer - Java,S03
JOB287,COM093,Gurgaon,Manager II - Third Party Assessments (Director),T08
JOB288,COM118,Hyderabad,Warehouse Manager - Retails,S04
JOB289,COM119,Bangalore,Tech Lead Manager,S03
JOB290,COM120,Bangalore,Category Manager,T08
JOB291,COM121,Bangalore,Full Stack Developer,S03
JOB292,COM114,Bangalore,Full Stack Developers - Java,S03
JOB293,COM122,Bangalore,Principle Software Engineer (Data Plane and AAA),S03
JOB294,COM123,Bangalore,Frontend Developer,S03
JOB295,COM087,Bangalore,Senior Cloud Engineer,I02
JOB296,COM124,Mumbai,Full Stack Developer - MEAN,S03
JOB297,COM125,Bangalore,Product Owner - Retail Apps,T08
JOB298,COM126,Mumbai,Engineering Help Desk Technician,O07
JOB299,COM075,Mumbai,Senior Product Manager,T08
JOB300,COM075,Bangalore,Senior Product Manager,T08
JOB301,COM127,Noida,Relationship Manager,S04
JOB302,COM128,Gurgaon,Quality Assurance Engineer,S03
JOB303,COM129,Bangalore,Project Lead / Test Engineer,S03
